idx	imgs	err1	err2	res1	res2
881	9-1##9-14	1	0	{'org_sentence': 'In one of the pictures, the giant panda is eating bamboo leaves, and in the other, the giant panda is in a daze.', 'sentence': 'In one of the pictures, the giant panda is eating bamboo leaves, and in the other, the giant panda is in a daze.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In one of the pictures, the giant panda is eating bamboo leaves, and in the other, the giant panda is in a daze.', 'sentence': 'Left part scenario:panda ,right part scenario: a panda bear in a zoo. Therefore, the sentence is right or wrong: In one of the pictures, the giant panda is eating bamboo leaves, and in the other, the giant panda is in a daze.', 'prediction': 1, 'label': 1}
885	38-4##38-7	1	0	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'Left part scenario:three white bowls on a black tray ,right part scenario: 3 spoons. Therefore, the sentence is right or wrong: The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 1, 'label': 1}
887	38-9##38-5	-1	0	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'Left part scenario:a spoon on a plate ,right part scenario: three spoons on a kitchen counter. Therefore, the sentence is right or wrong: The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 0, 'label': 0}
888	38-10##38-12	1	0	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'sentence': 'Left part scenario:a bowl of soup ,right part scenario: a bowl of rice. Therefore, the sentence is right or wrong: The spoon on the left is porcelain, and the spoon on the right is stainless steel.', 'prediction': 1, 'label': 1}
910	32-1##32-2	1	0	{'org_sentence': 'One of the pictures shows a Chinese New Year lion dance performance, and the other picture has the word &quot;Fu&quot; hanging on it.', 'sentence': 'One of the pictures shows a Chinese New Year lion dance performance, and the other picture has the word &quot;Fu&quot; hanging on it.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One of the pictures shows a Chinese New Year lion dance performance, and the other picture has the word &quot;Fu&quot; hanging on it.', 'sentence': 'Left part scenario:chinese ,right part scenario: a parade. Therefore, the sentence is right or wrong: One of the pictures shows a Chinese New Year lion dance performance, and the other picture has the word &quot;Fu&quot; hanging on it.', 'prediction': 1, 'label': 1}
913	47-11##47-7	-1	0	{'org_sentence': 'The boy on the left is pulling the erhu, and the girl on the right is pulling the erhu.', 'sentence': 'The boy on the left is pulling the erhu, and the girl on the right is pulling the erhu.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The boy on the left is pulling the erhu, and the girl on the right is pulling the erhu.', 'sentence': 'Left part scenario:a girl sitting on a bench ,right part scenario: sitting. Therefore, the sentence is right or wrong: The boy on the left is pulling the erhu, and the girl on the right is pulling the erhu.', 'prediction': 0, 'label': 0}
920	31-1##31-2	-1	0	{'org_sentence': 'The picture on the left shows exactly one person training to swim, and the other one shows a group of people swimming in a swimming pool.', 'sentence': 'The picture on the left shows exactly one person training to swim, and the other one shows a group of people swimming in a swimming pool.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left shows exactly one person training to swim, and the other one shows a group of people swimming in a swimming pool.', 'sentence': 'Left part scenario:a pool ,right part scenario: a competitive swimming event. Therefore, the sentence is right or wrong: The picture on the left shows exactly one person training to swim, and the other one shows a group of people swimming in a swimming pool.', 'prediction': 0, 'label': 0}
925	30-3##30-11	-1	0	{'org_sentence': 'In one picture, two people are playing football together, and the other is one person playing football.', 'sentence': 'In one picture, two people are playing football together, and the other is one person playing football.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In one picture, two people are playing football together, and the other is one person playing football.', 'sentence': 'Left part scenario:soccer ,right part scenario: a soccer stadium. Therefore, the sentence is right or wrong: In one picture, two people are playing football together, and the other is one person playing football.', 'prediction': 0, 'label': 0}
937	11-11##11-3	-1	0	{'org_sentence': 'There are at least two horses together in the picture on the left, and the picture on the right is a horse head.', 'sentence': 'There are at least two horses together in the picture on the left, and the picture on the right is a horse head.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are at least two horses together in the picture on the left, and the picture on the right is a horse head.', 'sentence': 'Left part scenario:four horses standing in a dirt field ,right part scenario: a field. Therefore, the sentence is right or wrong: There are at least two horses together in the picture on the left, and the picture on the right is a horse head.', 'prediction': 0, 'label': 0}
942	41-9##41-7	1	0	{'org_sentence': 'In one of the pictures, only empty bowls were placed, and in the other picture, there were things in the bowls.', 'sentence': 'In one of the pictures, only empty bowls were placed, and in the other picture, there were things in the bowls.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In one of the pictures, only empty bowls were placed, and in the other picture, there were things in the bowls.', 'sentence': 'Left part scenario:a bowl of cherries ,right part scenario: a bowl. Therefore, the sentence is right or wrong: In one of the pictures, only empty bowls were placed, and in the other picture, there were things in the bowls.', 'prediction': 1, 'label': 1}
955	53-15##53-13	-1	0	{'org_sentence': 'There are many dumplings on the left, and some fried dumplings on the right.', 'sentence': 'There are many dumplings on the left, and some fried dumplings on the right.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are many dumplings on the left, and some fried dumplings on the right.', 'sentence': 'Left part scenario:plate of food ,right part scenario: dumplings. Therefore, the sentence is right or wrong: There are many dumplings on the left, and some fried dumplings on the right.', 'prediction': 0, 'label': 0}
960	7-7##7-6	-1	0	{'org_sentence': 'There are three or four little mice on the left, and a big mouse on the right is smelling something on the ground.', 'sentence': 'There are three or four little mice on the left, and a big mouse on the right is smelling something on the ground.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are three or four little mice on the left, and a big mouse on the right is smelling something on the ground.', 'sentence': 'Left part scenario:mouse and cat ,right part scenario: mouse eating food. Therefore, the sentence is right or wrong: There are three or four little mice on the left, and a big mouse on the right is smelling something on the ground.', 'prediction': 0, 'label': 0}
962	50-6##50-2	1	0	{'org_sentence': 'There is more than one person playing drums in one picture, and no one plays the drums in the other picture.', 'sentence': 'There is more than one person playing drums in one picture, and no one plays the drums in the other picture.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is more than one person playing drums in one picture, and no one plays the drums in the other picture.', 'sentence': 'Left part scenario:studio ,right part scenario: a stage. Therefore, the sentence is right or wrong: There is more than one person playing drums in one picture, and no one plays the drums in the other picture.', 'prediction': 1, 'label': 1}
975	21-7##21-1	1	0	{'org_sentence': 'There are several lilies planted together on the left, and two lilies planted together on the other side.', 'sentence': 'There are several lilies planted together on the left, and two lilies planted together on the other side.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There are several lilies planted together on the left, and two lilies planted together on the other side.', 'sentence': 'Left part scenario:close up ,right part scenario: flowers. Therefore, the sentence is right or wrong: There are several lilies planted together on the left, and two lilies planted together on the other side.', 'prediction': 1, 'label': 1}
977	29-16##29-4	1	0	{'org_sentence': 'One of the pictures shows a large group of people running a marathon, and the two pictures add up to more than ten people.', 'sentence': 'One of the pictures shows a large group of people running a marathon, and the two pictures add up to more than ten people.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One of the pictures shows a large group of people running a marathon, and the two pictures add up to more than ten people.', 'sentence': 'Left part scenario:tennis court ,right part scenario: a race. Therefore, the sentence is right or wrong: One of the pictures shows a large group of people running a marathon, and the two pictures add up to more than ten people.', 'prediction': 1, 'label': 1}
984	60-15##60-14	-1	0	{'org_sentence': 'One picture can see the teapot, the other one can see the tea poured in the cup.', 'sentence': 'One picture can see the teapot, the other one can see the tea poured in the cup.', 'prediction': 1, 'label': 0}	{'org_sentence': 'One picture can see the teapot, the other one can see the tea poured in the cup.', 'sentence': 'Left part scenario:a wooden table ,right part scenario: rolling green hills. Therefore, the sentence is right or wrong: One picture can see the teapot, the other one can see the tea poured in the cup.', 'prediction': 0, 'label': 0}
985	48-8##48-1	-1	0	{'org_sentence': 'One of the pictures shows a girl playing the pipa alone, and no other people can be seen; the other shows several children performing the pipa together.', 'sentence': 'One of the pictures shows a girl playing the pipa alone, and no other people can be seen; the other shows several children performing the pipa together.', 'prediction': 1, 'label': 0}	{'org_sentence': 'One of the pictures shows a girl playing the pipa alone, and no other people can be seen; the other shows several children performing the pipa together.', 'sentence': 'Left part scenario:a stage ,right part scenario: two girls playing musical instruments. Therefore, the sentence is right or wrong: One of the pictures shows a girl playing the pipa alone, and no other people can be seen; the other shows several children performing the pipa together.', 'prediction': 0, 'label': 0}
1002	57-9##57-7	1	0	{'org_sentence': 'One cup of coffee is ordinary coffee without obvious patterns, and the other is coffee with lavender flowers.', 'sentence': 'One cup of coffee is ordinary coffee without obvious patterns, and the other is coffee with lavender flowers.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One cup of coffee is ordinary coffee without obvious patterns, and the other is coffee with lavender flowers.', 'sentence': 'Left part scenario:a cappuccino ,right part scenario: a cup of coffee. Therefore, the sentence is right or wrong: One cup of coffee is ordinary coffee without obvious patterns, and the other is coffee with lavender flowers.', 'prediction': 1, 'label': 1}
1005	20-15##20-6	-1	0	{'org_sentence': 'In both pictures, a lotus can be seen.', 'sentence': 'In both pictures, a lotus can be seen.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In both pictures, a lotus can be seen.', 'sentence': 'Left part scenario:black and white ,right part scenario: pink water lilies in a pond. Therefore, the sentence is right or wrong: In both pictures, a lotus can be seen.', 'prediction': 0, 'label': 0}
