idx	imgs	err1	err2	res1	res2
574	15-6##15-11	1	0	{'org_sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The birch tree in one picture is clearly sawn off, the other is not.', 'sentence': 'Left part scenario:forest ,right part scenario: wood. Therefore, the sentence is right or wrong: The birch tree in one picture is clearly sawn off, the other is not.', 'prediction': 1, 'label': 1}
579	24-1##24-12	0	1	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'Left part scenario:asian ,right part scenario: a grocery store. Therefore, the sentence is right or wrong: The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 0, 'label': 1}
580	24-8##24-13	-1	0	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'sentence': 'Left part scenario:a bowl of collard greens ,right part scenario: a field of green crops. Therefore, the sentence is right or wrong: The cabbage in one picture has been cooked and served on a plate, while the other picture is not.', 'prediction': 0, 'label': 0}
581	10-12##10-7	0	-1	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'Left part scenario:a cow standing in a field ,right part scenario: cows grazing in a field. Therefore, the sentence is right or wrong: The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 1, 'label': 0}
582	10-11##10-5	1	0	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'Left part scenario:a wildebeest in the wild ,right part scenario: a watering hole. Therefore, the sentence is right or wrong: The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 1, 'label': 1}
584	10-8##10-3	0	1	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'sentence': 'Left part scenario:a watering hole ,right part scenario: a herd of cows walking down a road. Therefore, the sentence is right or wrong: The picture on the right has at least two dark cows, and the picture on the left has one or more cows.', 'prediction': 0, 'label': 1}
587	19-10##19-12	0	1	{'org_sentence': 'You can see at least one blue or yellow orchid in the picture on the right, while the orchid on the left is lighter in color.', 'sentence': 'You can see at least one blue or yellow orchid in the picture on the right, while the orchid on the left is lighter in color.', 'prediction': 1, 'label': 1}	{'org_sentence': 'You can see at least one blue or yellow orchid in the picture on the right, while the orchid on the left is lighter in color.', 'sentence': 'Left part scenario:a white orchid ,right part scenario: indoors. Therefore, the sentence is right or wrong: You can see at least one blue or yellow orchid in the picture on the right, while the orchid on the left is lighter in color.', 'prediction': 0, 'label': 1}
600	35-9##35-7	0	-1	{'org_sentence': 'You can see the fruit used for worship in one picture, and there is no fruit in the other picture.', 'sentence': 'You can see the fruit used for worship in one picture, and there is no fruit in the other picture.', 'prediction': 0, 'label': 0}	{'org_sentence': 'You can see the fruit used for worship in one picture, and there is no fruit in the other picture.', 'sentence': 'Left part scenario:a street scene ,right part scenario: two boys standing in front of a barber shop. Therefore, the sentence is right or wrong: You can see the fruit used for worship in one picture, and there is no fruit in the other picture.', 'prediction': 1, 'label': 0}
605	8-1##8-9	0	1	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'Left part scenario:dog ,right part scenario: dog. Therefore, the sentence is right or wrong: One of the pictures shows a newborn puppy, and the other shows a Dalmatian.', 'prediction': 0, 'label': 1}
606	8-8##8-2	-1	0	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'sentence': 'Left part scenario:dog ,right part scenario: puppy. Therefore, the sentence is right or wrong: There is only one dog in one picture, and at least two dogs of different colors in the other picture.', 'prediction': 0, 'label': 0}
609	43-6##43-9	1	0	{'org_sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'sentence': 'Left part scenario:sitting ,right part scenario: japanese. Therefore, the sentence is right or wrong: There are exactly three people wearing similar Tang suits in the picture on the left, and there are only one or two people in the picture on the right.', 'prediction': 1, 'label': 1}
616	36-6##36-14	0	-1	{'org_sentence': 'There are many heart-shaped decorations on the right, and bear dolls or lights on the left.', 'sentence': 'There are many heart-shaped decorations on the right, and bear dolls or lights on the left.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are many heart-shaped decorations on the right, and bear dolls or lights on the left.', 'sentence': "Left part scenario:a valentine's day ,right part scenario: a blurry picture of a flower. Therefore, the sentence is right or wrong: There are many heart-shaped decorations on the right, and bear dolls or lights on the left.", 'prediction': 1, 'label': 0}
617	61-12##61-4	0	-1	{'org_sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'sentence': 'Left part scenario:a drink and newspaper on a wooden board ,right part scenario: a glass with a cookie in it. Therefore, the sentence is right or wrong: The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'prediction': 1, 'label': 0}
620	61-6##61-10	0	1	{'org_sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'sentence': 'Left part scenario:a glass of chocolate milkshake ,right part scenario: a glass of bubble tea. Therefore, the sentence is right or wrong: The milk tea in both pictures has pearls, and the picture on the left happens to have only one cup.', 'prediction': 0, 'label': 1}
624	44-6##44-7	0	1	{'org_sentence': 'There are people wearing red cheongsam in both pictures, and there is more than one person in one picture.', 'sentence': 'There are people wearing red cheongsam in both pictures, and there is more than one person in one picture.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There are people wearing red cheongsam in both pictures, and there is more than one person in one picture.', 'sentence': 'Left part scenario:asian women performing a dance ,right part scenario: a formal event. Therefore, the sentence is right or wrong: There are people wearing red cheongsam in both pictures, and there is more than one person in one picture.', 'prediction': 0, 'label': 1}
625	28-3##28-1	-1	0	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'Left part scenario:a basketball court ,right part scenario: a basketball court. Therefore, the sentence is right or wrong: The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 0, 'label': 0}
626	28-8##28-6	1	0	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'sentence': 'Left part scenario:a basketball game ,right part scenario: a basketball court. Therefore, the sentence is right or wrong: The players on the left are all wearing basketball vests, but the people on the right are not necessarily.', 'prediction': 1, 'label': 1}
630	12-6##12-4	-1	0	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'Left part scenario:walkway ,right part scenario: a school playground. Therefore, the sentence is right or wrong: In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 0, 'label': 0}
632	12-8##12-7	0	-1	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'sentence': 'Left part scenario:a lake ,right part scenario: winter. Therefore, the sentence is right or wrong: In the picture on the right, you can see obvious green space besides the willow trees, while the picture on the left has no green space.', 'prediction': 1, 'label': 0}
633	39-15##39-9	-1	0	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: a kitchen. Therefore, the sentence is right or wrong: There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 0}
634	39-6##39-19	0	1	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: cut meat. Therefore, the sentence is right or wrong: There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 1}
635	39-5##39-16	0	-1	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:carrots on a cutting board ,right part scenario: cut up cherry tomatoes. Therefore, the sentence is right or wrong: There are knives and chopping boards in both pictures, and one of them has a sliced cucumber.', 'prediction': 1, 'label': 0}
636	39-1##39-8	1	0	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'sentence': 'Left part scenario:kitchen ,right part scenario: cutting tomatoes. Therefore, the sentence is right or wrong: There is no knife on the cutting board in the right picture, and there is a knife on the cutting board in the left picture.', 'prediction': 1, 'label': 1}
638	9-2##9-5	0	-1	{'org_sentence': 'There happens to be only one giant panda in both pictures, and the giant panda in the right picture is not moving.', 'sentence': 'There happens to be only one giant panda in both pictures, and the giant panda in the right picture is not moving.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There happens to be only one giant panda in both pictures, and the giant panda in the right picture is not moving.', 'sentence': 'Left part scenario:two pandas in a zoo ,right part scenario: panda bear. Therefore, the sentence is right or wrong: There happens to be only one giant panda in both pictures, and the giant panda in the right picture is not moving.', 'prediction': 1, 'label': 0}
641	38-5##38-8	-1	0	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'Left part scenario:three spoons on a kitchen counter ,right part scenario: 3d. Therefore, the sentence is right or wrong: The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 0, 'label': 0}
642	38-3##38-9	0	1	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'Left part scenario:a person reaching into a bowl of soup ,right part scenario: a spoon on a plate. Therefore, the sentence is right or wrong: The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 0, 'label': 1}
643	38-4##38-12	1	0	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'sentence': 'Left part scenario:three white bowls on a black tray ,right part scenario: a bowl of rice. Therefore, the sentence is right or wrong: The soup ladle in the right picture is made of metal, and the left picture has at least two non-metallic soup ladles.', 'prediction': 1, 'label': 1}
646	23-5##23-7	0	1	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'Left part scenario:a grocery store ,right part scenario: a kitchen scene. Therefore, the sentence is right or wrong: In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 0, 'label': 1}
648	23-3##23-11	1	0	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: bitten into a potato. Therefore, the sentence is right or wrong: In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 1, 'label': 1}
657	4-9##4-3	0	1	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'Left part scenario:three birds on the beach ,right part scenario: a seagull landing in the water. Therefore, the sentence is right or wrong: The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 0, 'label': 1}
658	4-10##4-7	-1	0	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'Left part scenario:two birds flying over the water ,right part scenario: grass. Therefore, the sentence is right or wrong: The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 0, 'label': 0}
659	4-11##4-4	0	-1	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'sentence': 'Left part scenario:a marsh ,right part scenario: a flock of birds. Therefore, the sentence is right or wrong: The picture on the right happens to have only one egret with its wings spread, while the egret on the left is not flying.', 'prediction': 1, 'label': 0}
663	46-3##46-11	0	-1	{'org_sentence': 'The T-shirt on the right is pure white, and the T-shirt on the left has Chinese characters written on it.', 'sentence': 'The T-shirt on the right is pure white, and the T-shirt on the left has Chinese characters written on it.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The T-shirt on the right is pure white, and the T-shirt on the left has Chinese characters written on it.', 'sentence': 'Left part scenario:a balcony ,right part scenario: staring into the mirror. Therefore, the sentence is right or wrong: The T-shirt on the right is pure white, and the T-shirt on the left has Chinese characters written on it.', 'prediction': 1, 'label': 0}
668	32-2##32-10	0	-1	{'org_sentence': 'On the right, you can see the decorations with the word blessing, and on the left is the street during the Spring Festival.', 'sentence': 'On the right, you can see the decorations with the word blessing, and on the left is the street during the Spring Festival.', 'prediction': 0, 'label': 0}	{'org_sentence': 'On the right, you can see the decorations with the word blessing, and on the left is the street during the Spring Festival.', 'sentence': 'Left part scenario:a parade ,right part scenario: chinese new year. Therefore, the sentence is right or wrong: On the right, you can see the decorations with the word blessing, and on the left is the street during the Spring Festival.', 'prediction': 1, 'label': 0}
671	47-4##47-5	0	1	{'org_sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'sentence': 'Left part scenario:two women on stage ,right part scenario: woman. Therefore, the sentence is right or wrong: In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'prediction': 0, 'label': 1}
672	47-10##47-13	0	1	{'org_sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'sentence': 'Left part scenario:walking down the street ,right part scenario: woman. Therefore, the sentence is right or wrong: In the picture on the right, there happens to be a woman pulling the erhu, and the figure on the left drawing the erhu is performing.', 'prediction': 0, 'label': 1}
673	31-5##31-3	0	1	{'org_sentence': 'In the left picture, there is only one obvious person swimming, and in the right picture there is a dog or many people swimming.', 'sentence': 'In the left picture, there is only one obvious person swimming, and in the right picture there is a dog or many people swimming.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In the left picture, there is only one obvious person swimming, and in the right picture there is a dog or many people swimming.', 'sentence': 'Left part scenario:a swimming pool ,right part scenario: a swimming pool. Therefore, the sentence is right or wrong: In the left picture, there is only one obvious person swimming, and in the right picture there is a dog or many people swimming.', 'prediction': 0, 'label': 1}
681	30-12##30-9	-1	0	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 1, 'label': 0}	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'Left part scenario:a soccer field ,right part scenario: soccer field. Therefore, the sentence is right or wrong: One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 0, 'label': 0}
682	30-10##30-11	1	0	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'Left part scenario:soccer ball on the field ,right part scenario: a soccer stadium. Therefore, the sentence is right or wrong: One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 1, 'label': 1}
684	30-2##30-6	0	-1	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 0, 'label': 0}	{'org_sentence': 'One picture has a football field overlooked, and the other picture shows an obvious football.', 'sentence': 'Left part scenario:a soccer field ,right part scenario: a soccer ball on the grass. Therefore, the sentence is right or wrong: One picture has a football field overlooked, and the other picture shows an obvious football.', 'prediction': 1, 'label': 0}
685	42-16##42-6	-1	0	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'Left part scenario:two women posing for a photo ,right part scenario: hanbok. Therefore, the sentence is right or wrong: In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 0, 'label': 0}
688	42-8##42-17	0	1	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 1, 'label': 1}	{'org_sentence': 'In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'sentence': 'Left part scenario:street ,right part scenario: in a bamboo forest. Therefore, the sentence is right or wrong: In one picture, there is only one woman posing in Hanfu, and in the other picture there is at least one person wearing Hanfu.', 'prediction': 0, 'label': 1}
690	54-12##54-14	-1	0	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'Left part scenario:a bowl of rice ,right part scenario: bowl of soup. Therefore, the sentence is right or wrong: The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 0, 'label': 0}
691	54-1##54-19	1	0	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'sentence': 'Left part scenario:a bowl of soup ,right part scenario: a bowl of soup. Therefore, the sentence is right or wrong: The porridge in one picture is yellow, and the other is white porridge or purple rice porridge.', 'prediction': 1, 'label': 1}
696	18-1##18-3	-1	0	{'org_sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'sentence': 'Left part scenario:garden ,right part scenario: a garden. Therefore, the sentence is right or wrong: The peony on the left occupies at least half of the area of the picture, while the peony on the right does not.', 'prediction': 0, 'label': 0}
698	11-8##11-2	-1	0	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'Left part scenario:a rocky shore ,right part scenario: a fenced in field. Therefore, the sentence is right or wrong: The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 0, 'label': 0}
700	11-3##11-5	1	0	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'sentence': 'Left part scenario:a field ,right part scenario: a corral. Therefore, the sentence is right or wrong: The picture on the left happens to have only one horse, and the picture on the right has one or more brown horses.', 'prediction': 1, 'label': 1}
701	41-11##41-3	0	1	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'Left part scenario:a bowl of asian food ,right part scenario: a tea cup and saucer. Therefore, the sentence is right or wrong: The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 0, 'label': 1}
703	41-8##41-13	-1	0	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'Left part scenario:a bowl ,right part scenario: a picnic. Therefore, the sentence is right or wrong: The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 0, 'label': 0}
704	41-14##41-10	0	1	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'sentence': 'Left part scenario:a dining table ,right part scenario: a bowl of popcorn. Therefore, the sentence is right or wrong: The bowl on the left has chopsticks, and the bowl on the right has no chopsticks or spoons.', 'prediction': 0, 'label': 1}
711	14-6##14-9	0	1	{'org_sentence': 'There is only one obvious plane tree in the picture on the right, and there are many trees in the picture on the left.', 'sentence': 'There is only one obvious plane tree in the picture on the right, and there are many trees in the picture on the left.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is only one obvious plane tree in the picture on the right, and there are many trees in the picture on the left.', 'sentence': 'Left part scenario:street lined with trees ,right part scenario: hill. Therefore, the sentence is right or wrong: There is only one obvious plane tree in the picture on the right, and there are many trees in the picture on the left.', 'prediction': 0, 'label': 1}
713	3-13##3-11	0	-1	{'org_sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'sentence': 'Left part scenario:chicken coop ,right part scenario: rooster. Therefore, the sentence is right or wrong: In the picture on the left, there are chicks that have not grown up, and in the picture on the right, there are at least three or more chickens.', 'prediction': 1, 'label': 0}
